kai,datetime,hour,minute,suionn,DO,Sal,nissyaryou,kousuiryou,kousuiryou_1pre,kousuiryou_2pre,u,v,tyouryuu,Chl.a
HIU,2000/5/17,10,47,17.18,8.2,32.77,20.0,1.5,0.0,0.0,17.01,-19.27,25.70356006470699,0.7
HIU,2000/5/17,13,22,17.47,8.2,32.79,20.0,1.5,0.0,0.0,-3.89,1.41,4.137656341457081,0.5
HIU,2000/5/17,14,9,17.94,8.2,32.74,20.0,1.5,0.0,0.0,-13.31,11.62,17.668630394006207,2.7
HIU,2000/5/17,15,13,18.92,7.9,32.63,20.0,1.5,0.0,0.0,-19.64,18.16,26.749115873239624,0.5
HIU,2000/5/23,9,30,16.1,8.0,33.0,23.6,0.0,0.0,0.0,-12.5,12.02,17.34158008948435,1.0
HIU,2000/5/23,10,30,18.0,8.8,33.0,23.6,0.0,0.0,0.0,3.22,-0.15,3.223491895445062,1.2
HIU,2000/5/23,11,40,18.2,9.0,32.9,23.6,0.0,0.0,0.0,18.98,-17.52,25.83003677891304,0.6
HIU,2000/5/23,12,45,17.9,8.2,33.0,23.6,0.0,0.0,0.0,21.65,-24.49,32.68765210289659,0.2
HIU,2000/5/24,8,55,15.9,9.0,33.2,26.4,0.0,0.0,0.0,-23.69,21.23,31.81083148866122,1.8
HIU,2000/5/24,10,5,18.6,7.9,33.0,26.4,0.0,0.0,0.0,-7.13,7.72,10.50882010503558,0.4
HIU,2000/5/24,11,15,18.3,7.9,33.0,26.4,0.0,0.0,0.0,11.14,-7.04,13.17805751998374,0.5
HIU,2000/5/24,13,10,16.7,8.1,33.1,26.4,0.0,0.0,0.0,21.78,-24.59,32.848690993706285,0.9
HIU,2000/8/22,9,30,28.92,7.2,32.78,21.5,0.0,0.0,0.0,-26.87,23.93,35.981131166209884,1.0
HIU,2000/8/22,10,40,29.5,8.1,32.54,21.5,0.0,0.0,0.0,-22.03,20.02,29.76778963913848,2.2
HIU,2000/8/22,11,55,27.82,8.1,32.63,21.5,0.0,0.0,0.0,-12.39,12.22,17.40231306464747,1.6
HIU,2000/8/22,13,5,28.03,6.8,32.71,21.5,0.0,0.0,0.0,20.0,-19.81,28.15024156201861,7.4
HIU,2000/8/23,8,55,27.17,7.1,32.82,22.5,0.0,0.0,0.0,-21.81,17.88,28.202313734869342,3.8
HIU,2000/8/23,10,10,28.01,7.2,32.79,22.5,0.0,0.0,0.0,-25.69,22.47,34.130294461079586,1.4
HIU,2000/8/23,10,49,28.26,6.4,32.74,22.5,0.0,0.0,0.0,-25.69,22.47,34.130294461079586,0.1
HIU,2000/8/23,11,20,27.9,6.8,32.73,22.5,0.0,0.0,0.0,-20.41,18.15,27.31282848772716,1.5
HIU,2000/8/23,13,15,28.21,7.1,32.91,22.5,0.0,0.0,0.0,10.8,-5.8,12.258874336577565,0.9
HIU,2000/8/23,13,21,28.95,6.9,32.78,22.5,0.0,0.0,0.0,10.8,-5.8,12.258874336577565,0.2
HIU,2000/8/23,14,6,29.24,6.9,32.76,22.5,0.0,0.0,0.0,18.8,-19.92,27.390626133770656,0.3
HIU,2000/8/23,15,10,29.2,7.2,32.64,22.5,0.0,0.0,0.0,20.23,-23.73,31.18278050463108,0.1
HIU,2000/10/16,10,50,23.77,6.8,31.6,18.1,0.0,0.0,0.0,15.67,-11.8,19.616036806653888,0.7
HIU,2000/10/16,13,21,24.07,7.2,31.82,18.1,0.0,0.0,0.0,19.98,-23.45,30.80751369390266,0.5
HIU,2000/10/16,14,2,24.19,7.3,31.72,18.1,0.0,0.0,0.0,14.2,-17.19,22.29654906033667,1.1
HIU,2000/10/16,15,11,24.13,7.2,31.78,18.1,0.0,0.0,0.0,2.54,-6.23,6.727889713721533,0.5
HIU,2000/10/24,9,30,22.34,6.4,32.86,14.5,0.0,21.5,0.0,4.88,-8.14,9.490732322,5.4
HIU,2000/10/24,10,45,22.59,7.0,32.63,14.5,0.0,21.5,0.0,-2.68,-1.51,3.076117683054405,6.0
HIU,2000/10/24,12,0,22.95,6.7,32.87,14.5,0.0,21.5,0.0,-17.13,14.75,22.60529583969208,2.7
HIU,2000/10/24,13,10,22.84,6.5,32.87,14.5,0.0,21.5,0.0,-18.92,16.93,25.38880264998726,1.8
HIU,2000/10/25,8,55,22.75,6.3,33.18,8.6,1.0,0.0,21.5,13.09,-15.51,20.29552167351212,1.7
HIU,2000/10/25,10,0,22.83,6.9,33.0,8.6,1.0,0.0,21.5,9.31,-12.05,15.227560540020848,3.3
HIU,2000/10/25,11,20,22.72,6.7,32.97,8.6,1.0,0.0,21.5,2.65,-5.68,6.267766747414903,0.8
HIU,2000/10/25,13,0,22.88,6.5,33.11,8.6,1.0,0.0,21.5,-15.56,12.78,20.135590381213063,2.2
HIU,2001/2/20,9,25,10.51,8.4,33.52,17.4,0.0,0.0,0.0,13.64,-12.2,18.299989071034982,2.8
