datetime,hour,nissyaryou,kousuiryou,suionn,tyouryuu,answer,datetime_with_hour
2024-04-24,18.0,10.242,0.0,15.592,30.587,かなり安全,2024-04-24 18.0
2024-04-24,19.0,10.242,0.0,15.592,36.923,注意が必要,2024-04-24 19.0
2024-04-24,20.0,10.242,0.0,15.592,34.575,注意が必要,2024-04-24 20.0
2024-04-24,21.0,10.242,0.0,15.592,27.816,かなり安全,2024-04-24 21.0
2024-04-24,22.0,10.242,0.0,15.592,15.557,かなり安全,2024-04-24 22.0
2024-04-24,23.0,10.242,0.0,15.592,7.061,かなり安全,2024-04-24 23.0
2024-04-25,0.0,20.167,0.0,15.556,24.516,危険,2024-04-25 0.0
2024-04-25,1.0,20.167,0.0,15.556,29.858,危険,2024-04-25 1.0
2024-04-25,2.0,20.167,0.0,15.556,30.52,危険,2024-04-25 2.0
2024-04-25,3.0,20.167,0.0,15.556,26.274,危険,2024-04-25 3.0
2024-04-25,4.0,20.167,0.0,15.556,15.677,安全,2024-04-25 4.0
2024-04-25,5.0,20.167,0.0,15.556,3.331,危険,2024-04-25 5.0
2024-04-25,6.0,20.167,0.0,15.556,22.485,危険,2024-04-25 6.0
2024-04-25,7.0,20.167,0.0,15.556,33.426,安全,2024-04-25 7.0
2024-04-25,8.0,20.167,0.0,15.556,33.905,安全,2024-04-25 8.0
2024-04-25,9.0,20.167,0.0,15.556,28.489,安全,2024-04-25 9.0
2024-04-25,10.0,20.167,0.0,15.556,19.068,かなり安全,2024-04-25 10.0
2024-04-25,11.0,20.167,0.0,15.556,2.107,安全,2024-04-25 11.0
2024-04-25,12.0,20.167,0.0,15.556,21.901,かなり安全,2024-04-25 12.0
2024-04-25,13.0,20.167,0.0,15.556,29.249,かなり安全,2024-04-25 13.0
2024-04-25,14.0,20.167,0.0,15.556,31.038,かなり安全,2024-04-25 14.0
2024-04-25,15.0,20.167,0.0,15.556,25.631,かなり安全,2024-04-25 15.0
2024-04-25,16.0,20.167,0.0,15.556,14.666,かなり安全,2024-04-25 16.0
2024-04-25,17.0,20.167,0.0,15.556,3.411,かなり安全,2024-04-25 17.0
2024-04-25,18.0,20.167,0.0,15.556,23.737,かなり安全,2024-04-25 18.0
