kai,stn,lat,lon,se,year,mon,day,time,We,Wc,Ta,Tr,Lay,Dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo,Lay,dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo
KIS,WY01,341312,1350504,WT,1986,2,18,13:45,RN,3805,4,11,U,2,8.4,8.1,9.1,33.29,-,-,-,-,-,-,-,-,-,-,-,B,34.7,9.4,-,8.4,33.8,-,-,-,-,-,-,-,-,-,-,-
KIS,WY02,341312,1345950,WT,1986,2,19,8:51,CL,3703,7,9.2,U,2,-,-,-,-,-,1,1.6,0.11,0.024,0.008,0.039,0.04,0.006,-,-,B,34.7,-,-,-,-,-,<1,1.2,0.12,0.024,0.007,0.051,0.03,0.012,-,-
KIS,WY03,341312,1345436,WT,1986,2,19,9:18,CL,3505,7,11.6,U,2,13.5,-,8.1,-,-,-,-,-,-,-,-,-,-,-,-,B,36.6,12.8,-,8.2,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY05,340852,1350504,WT,1986,2,19,13:18,RN,3805,4,12.1,U,2,-,-,-,-,-,1,1.9,0.13,0.015,0.008,0.053,0.05,0.005,-,-,B,32.7,-,-,-,-,-,3,1.7,0.11,0.029,0.005,0.056,0.02,0.014,-,-
KIS,WY06,340852,1345950,WT,1986,2,18,12:50,RN,3805,8,9.9,U,2,9.5,-,8.9,33.37,-,-,-,-,-,-,-,-,-,-,-,B,35.5,9.8,-,8.8,33.9,-,-,-,-,-,-,-,-,-,-,-
KIS,WY07,340852,1345436,WT,1986,2,19,13:36,CL,3703,11,10,U,2,13,-,8.2,-,-,<1,1.1,0.13,0.025,0.007,0.044,0.05,0.006,-,-,B,29.3,11.5,-,8.5,-,-,<1,0.7,0.11,0.029,0.007,0.047,0.01,0.009,-,-
KIS,WY08,340852,1344922,WT,1986,2,19,9:52,CL,3505,7,10.2,U,2,11.5,-,8.5,33.11,-,-,-,-,-,-,-,-,-,-,-,B,34.8,11.3,-,8.5,33.17,-,-,-,-,-,-,-,-,-,-,-
KIS,WY09,340852,1344408,WT,1986,2,19,10:19,CL,3505,7,5.3,U,2,7.4,-,9.9,-,-,1,0.9,0.12,0.025,0.005,0.042,0.05,0.006,-,-,B,18.3,7.3,-,9.8,-,-,1,0.9,0.13,0.025,0.005,0.056,0.04,0.009,-,-
KIS,WY10,340852,1343854,WT,1986,2,19,10:47,CL,3505,7,7.9,U,2,7.4,-,9.9,-,-,-,-,-,-,-,-,-,-,-,-,B,15.2,7.4,-,9.8,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY11,340432,1345950,WT,1986,2,18,12:24,RN,4105,10,10,U,2,15,-,-,34.24,-,2,1.5,0.1,0.007,0.005,0.053,0.06,<0.003,-,-,B,21.2,15,-,7.5,34.64,-,1,1.5,0.08,0.007,0.005,0.049,0.07,0.003,-,-
KIS,WY12,340432,1345436,WT,1986,2,20,9:49,CL,4105,6,17,U,2,13.6,8.1,8.4,-,-,-,-,-,-,-,-,-,-,-,-,B,33.9,13.6,-,8.4,-,-,-,-,-,-,-,-,-,-,-,-
