kai,stn,lat,lon,se,year,mon,day,time,We,Wc,Ta,Tr,Lay,Dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo,Lay,Dep,Tem,pH,DO,Sal,Dak,SS,COD,T-N,T-P,NO2-N,NO3-N,NH4-N,PO4-P,Chl.a,Phaeo
KIS,WY01,341312,1350504,WT,2022,2,9,09:46,CL,3802,7.1,10,U,2.02,12.11,8.23,8.14,33.06,0.1,-,-,-,-,-,-,-,-,-,-,B,38.3,13,8.19,7.78,33.62,0.2,-,-,-,-,-,-,-,-,-,-
KIS,WY02,341312,1345950,WT,2022,2,14,09:08,UC,4105,9.4,9,U,2.33,11.83,8.25,8.35,33.17,0.1,<1,1.1,0.19,0.012,0.014,0.017,<0.010,0.007,0.7,1.2,B,42.77,12.86,8.25,7.87,33.58,0.7,3,1.3,0.17,0.012,0.017,0.019,<0.010,0.009,0.4,0.9
KIS,WY03,341312,1345436,WT,2022,2,14,09:42,UC,4105,8.8,9,U,2.59,12.02,8.27,8.36,33.27,0.1,-,-,-,-,-,-,-,-,-,-,B,61.24,12,8.26,7.94,33.35,0.8,-,-,-,-,-,-,-,-,-,-
KIS,WY05,340852,1350504,WT,2022,2,14,12:09,UC,4105,9.6,8,U,2.23,12.71,8.28,8.17,33.56,0.1,1,1.1,0.2,0.019,0.018,0.018,<0.010,0.009,0.4,0.7,B,37.86,13,8.28,7.99,33.71,0.3,2,1.3,0.17,0.018,0.014,0.017,<0.010,0.008,0.7,1.3
KIS,WY06,340852,1345950,WT,2022,2,14,10:52,UC,4105,9,9,U,1.96,12.54,8.29,8.3,33.2,0.1,-,-,-,-,-,-,-,-,-,-,B,62.02,14,8.27,7.63,33.86,0.3,-,-,-,-,-,-,-,-,-,-
KIS,WY07,340852,1345436,WT,2022,2,14,10:14,UC,4105,9.2,9,U,2.2,12.67,8.28,8.23,33.53,0.1,<1,1.2,0.2,0.012,0.013,0.018,<0.010,0.007,0.7,1.3,B,60.83,13.68,8.27,7.63,33.85,1.1,5,1.3,0.19,0.012,0.012,0.023,<0.010,0.008,0.5,1.1
KIS,WY08,340852,1344922,WT,-,-,-,00:00,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY09,340852,1344408,WT,-,-,-,00:00,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY10,340852,1343854,WT,-,-,-,00:00,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY11,340432,1345950,WT,2022,2,14,11:24,UC,4105,10.4,8,U,2.24,13.06,8.27,8.15,33.63,0.1,1,1.2,0.18,0.011,0.015,0.02,<0.010,0.008,0.4,0.9,B,60.42,12.95,8.27,7.78,33.66,0.4,2,1.2,0.17,0.01,0.016,0.019,<0.010,0.008,0.6,0.9
KIS,WY12,340432,1345436,WT,2022,2,10,09:39,UC,3802,8.3,8,U,1.9,11.99,8.25,8.34,33.21,0.1,-,-,-,-,-,-,-,-,-,-,B,60.76,14,8.24,7.47,33.78,0.9,-,-,-,-,-,-,-,-,-,-
KIS,WY13,340432,1344922,WT,-,-,-,00:00,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KIS,WY14,340432,1344408,WT,-,-,-,00:00,-,-,-,-,U,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
