year,takamatsu,oosaka,matsuyama,hirosima,ooita,saga
2000/1/1,8.7,5.9,10.9,11.1,10.5,11.6
2000/1/2,6.4,6.4,3.8,8.4,4.6,9.6
2000/1/3,11.4,8.5,11.7,11.2,12.1,11
2000/1/4,11,10.2,11.3,10.8,11.5,11
2000/1/5,10.4,9.7,8,8.3,7.2,4.4
2000/1/6,8,7.1,5.9,5.1,6.3,5.4
2000/1/7,3.7,6.2,5.2,11.8,10.5,8.8
2000/1/8,3.2,4.9,5.9,7.1,7.3,5.8
2000/1/9,3.5,4.5,2.8,2.7,1.3,1.3
2000/1/10,6.2,7.2,8.3,9.4,11.4,8.6
2000/1/11,6.2,7.6,12.6,7.4,10.1,12.4
2000/1/12,4.4,5.4,4,3,1.1,1.3
2000/1/13,1.7,3,1.2,2.9,3,1.8
2000/1/14,9.1,8.9,9.7,8.6,5.3,4
2000/1/15,8.2,8.8,10.1,10.4,10.4,7.9
2000/1/16,2.1,3.5,1.1,1.5,1.1,5.2
2000/1/17,9.5,8.6,9,9.4,10.7,8.5
2000/1/18,10.6,10.2,11.8,9.7,4.6,7.5
2000/1/19,8.1,12.1,5.3,5.6,7.2,7.8
2000/1/20,8.7,12.2,8.7,11.7,7,8
2000/1/21,9,8.3,10.2,10,11.3,8.9
2000/1/22,11.3,6.8,10.7,9.8,5.3,5
2000/1/23,1.8,1,1.6,2.3,3.6,2.1
2000/1/24,4.6,3.9,3.6,5.5,3.3,1.8
2000/1/25,1.2,4.1,5.2,9,4.5,10
2000/1/26,6.4,10.8,2.9,8.3,8.3,11.8
2000/1/27,8.9,10.8,7.5,11.8,10.9,8.4
2000/1/28,11,7.4,12,13.1,14.9,12.3
2000/1/29,13.9,13.4,12.7,12.8,11.9,11.3
2000/1/30,1.9,2.7,1.4,4.7,4.2,2.5
2000/1/31,11,10.3,9,8.7,12.8,10.9
2000/2/1,14.1,8.2,11.9,11.5,11.7,10
2000/2/2,13.6,10.1,14.4,13.7,14.7,11.1
2000/2/3,9.9,9.8,7.8,9,6.1,3.9
2000/2/4,11.6,13.7,14.1,11.9,12.9,14
2000/2/5,14.4,13.8,14.6,14.4,11.2,7.4
2000/2/6,1.6,1,1.5,2.1,3.9,3.9
2000/2/7,8.3,6.4,12.4,10.7,13.7,9.3
2000/2/8,6.9,9.2,8.9,7.9,9.5,7.5
2000/2/9,12.8,6.3,14.4,6.6,16.8,15.3
2000/2/10,13.7,9.1,12.5,14.1,13.8,15
2000/2/11,9.7,10.4,11.6,13,13.8,13.8
2000/2/12,15.4,14.1,14.5,15,16.4,16
2000/2/13,14.9,7.9,16,14.8,15.9,15.2
2000/2/14,10.3,8,8.6,8.7,8.3,6.1
2000/2/15,9.6,12.5,9.6,14.4,11,10.6
2000/2/16,15,15.2,12.2,12.1,8.9,16.5
2000/2/17,14.3,14.1,14.1,12,11.8,14.1
2000/2/18,14.4,9.3,17.1,16.3,16.6,15.7
2000/2/19,5.8,6.4,3.6,4.8,1.7,1.8
2000/2/20,10,6.1,15,13.3,13.4,12.9
2000/2/21,12.4,9.3,9.5,13.3,18.1,18.7
2000/2/22,11.1,10.1,11.2,8.8,12.5,10.1
2000/2/23,11,11.6,9.2,11.7,12.1,10.3
2000/2/24,13.5,11,15.2,11.2,14.8,17.1
2000/2/25,16.4,13.6,15.3,11.9,15.6,14.1
2000/2/26,8,3.5,7.6,11.4,13.8,10.1
2000/2/27,15.8,14.2,14.3,13,15.3,17.8
2000/2/28,9.5,7,3.8,12.7,12.3,11.1
2000/2/29,17.8,11.9,18.7,14.5,17.8,15.9
2000/3/1,18.6,18.6,19,18.2,19,19.1
2000/3/2,18.3,18,18.3,17.5,17.8,17.5
2000/3/3,17.5,17.5,16.2,17.9,11.9,9.5
2000/3/4,3,1.7,2.2,2.2,2.6,1.7
2000/3/5,12.1,12.4,11.1,14.8,13.2,7.6
2000/3/6,16.3,17.2,15.4,15.6,16.5,16.4
2000/3/7,15.3,15.2,16.1,19.3,20.2,21.2
2000/3/8,16.7,19.6,19.6,16.7,21.7,20.4
2000/3/9,13.3,9.6,18.9,19.4,20.9,20.7
2000/3/10,16.9,14.5,20,18.3,20.2,18.7
2000/3/11,3.4,3.1,2.3,2.3,1.2,2.6
2000/3/12,16.4,13,12.5,9.1,13.7,16.9
2000/3/13,17.9,16.4,19.6,19.9,20.8,20.9
2000/3/14,18.5,15.8,18.9,16.2,19,18.4
2000/3/15,19.8,19.2,19.5,18.3,16.3,11.8
2000/3/16,9.7,5,6.2,11.9,5.1,4.8
2000/3/17,19.4,16.8,19.4,18.9,21,21.2
2000/3/18,21.2,21.2,21.5,21.4,21.1,20.3
2000/3/19,4,3.8,3.7,2.6,5.4,7.6
2000/3/20,21.6,19.2,22.6,22,22.9,22.5
2000/3/21,21.2,17.7,19.4,21.2,21.3,17.8
2000/3/22,21.4,19.8,20.1,20.7,17.2,17.8
2000/3/23,11.1,14.3,7.3,4.5,4,1.2
2000/3/24,19.5,17.7,20.4,18.8,21.8,22.5
2000/3/25,21.4,13.2,23.1,22.1,23.7,23
2000/3/26,21.2,12.1,20.3,20.7,17.6,21.4
2000/3/27,21.3,21.5,19.2,19,19.4,17.5
2000/3/28,5.2,5.9,2.1,1.7,5.6,3.3
2000/3/29,10.2,8.1,1.6,6.1,6.1,4.9
2000/3/30,21.2,14.7,17.9,21.1,23.6,23
2000/3/31,6.6,4.8,7.2,2.6,9.7,3.4
2000/4/1,24.2,23.7,23.9,23.8,22.5,22.2
2000/4/2,10.9,10.1,8.4,9.1,6.5,4.6
2000/4/3,8.8,13,5.3,9,8.6,16.2
2000/4/4,16.9,16.1,10.1,8.8,5.4,5.4
2000/4/5,7.6,7,8.7,12.9,15.3,16.4
2000/4/6,25.6,23.7,25,24.6,25.2,24.9
2000/4/7,20.3,17.3,23.2,22.5,20.8,23.6
2000/4/8,20.2,20.6,20.2,21.1,21.1,19.7
2000/4/9,21.3,20.5,19.8,17.8,17.8,15.7
2000/4/10,5.4,3.2,5.3,4.9,9.3,15.7
2000/4/11,26,17.5,25.2,24.5,25.7,25.3
2000/4/12,25.4,22,23.1,22.9,20.1,21.5
2000/4/13,23.7,23.1,23.1,22.2,23,21
2000/4/14,19.6,18.3,19.8,17.9,19.5,18.6
2000/4/15,3.8,4.3,5.8,3.5,4.7,6.8
2000/4/16,17.2,11.5,21.2,13.3,21.8,19.2
2000/4/17,23.6,20.9,20.2,16.8,24,24.3
2000/4/18,24.7,21.9,23.7,23.5,22.4,21
2000/4/19,10.1,8.9,5.4,6,6,2.4
2000/4/20,13.5,7.1,12.9,14.4,21.4,11.2
2000/4/21,5.7,6.9,3.4,2.1,6.8,9.2
2000/4/22,22.8,22.6,20.3,21.5,23.1,20.4
2000/4/23,27.3,26.3,26.6,27.1,27.5,26.3
2000/4/24,24.3,21.5,26.2,25.9,27.3,27
2000/4/25,23.2,22.1,21.6,19.2,18.4,14.6
2000/4/26,4.4,4.3,4.9,4.9,2.8,6.1
2000/4/27,21.1,21.8,12.4,9.5,18.1,17.1
2000/4/28,12,17,12.7,8.2,21.4,18
2000/4/29,27.3,27.1,26.2,26,26.6,26.3
2000/4/30,14.5,13.8,8,4.7,5,3.8
2000/5/1,26.5,16.7,26.6,25.3,23.2,25.5
2000/5/2,22,20.3,24,23.8,24.3,24
2000/5/3,27.4,18.9,26.6,26.2,27.7,25.7
2000/5/4,25.8,25.2,25.5,25.7,25.5,25.6
2000/5/5,23.6,23.9,23.1,23.8,23,24.4
2000/5/6,23.2,22.7,23.8,22.8,24.1,24.8
2000/5/7,16.8,9.3,18.6,20.8,16.6,20.2
2000/5/8,25,25,24.8,24.5,24.5,23.9
2000/5/9,28.1,24.7,27.9,27.4,23.9,22
2000/5/10,18.8,20.3,19.1,14.3,15.4,7
2000/5/11,14.3,20.3,7.6,4.3,6.7,24.4
2000/5/12,13.8,17.6,24,26.3,24.2,21.6
2000/5/13,17.9,15.7,16.3,16.1,11.1,6.7
2000/5/14,14.4,22.5,13.8,22.1,21.1,19.6
2000/5/15,9.5,10.3,9.1,7.9,6.2,8.9
2000/5/16,14.8,19.5,8.5,11.7,8.3,5.9
2000/5/17,20,12.5,18.5,11.2,12.3,13
2000/5/18,26.3,21.6,25.9,25.9,25.9,21.9
2000/5/19,6.1,8.8,5.2,6.5,5.8,7.1
2000/5/20,20.6,12.2,21,21.9,19.7,20.6
2000/5/21,27.7,26.2,27.6,26.6,27.6,27
2000/5/22,20.8,21,17.8,18,16.5,14.7
2000/5/23,23.6,21.4,24.3,23.7,24.2,23.7
2000/5/24,26.4,24.8,25,24.9,22.5,22.8
2000/5/25,29.4,27.8,26.3,26.1,24.3,24.3
2000/5/26,15.3,18.4,10,11.4,5.5,3.1
2000/5/27,9.9,5.4,7.2,4.4,3.1,2
2000/5/28,25.4,22.3,18.3,27.4,20.8,19.6
2000/5/29,28.1,28,26.1,26.7,24.9,20.7
2000/5/30,19.9,20.5,19.4,17.9,13.6,10.2
2000/5/31,4.2,3.5,2.6,2.8,3.4,2.2
2000/6/1,24.2,21.5,23.4,26.1,25.8,20.3
2000/6/2,18.6,20.3,16.9,18.8,14.8,13.1
2000/6/3,5.8,5.6,4.5,8.9,4.1,5.1
2000/6/4,14.8,15.4,11.8,16.3,6.4,11
2000/6/5,24,23.8,21,23.8,24.1,27.3
2000/6/6,27.1,27,28.6,28.6,27.8,26.3
