kai,datetime,Tem,DO,Sal,Chl.a
OSK,2003-02-13 09:12:00,8.06,10.7,32.51,3.8
KIS,2003-02-13 10:15:00,9.58,8.9,33.46,0.5
OSK,2003-02-13 10:28:00,8.09,10.3,31.84,6.9
KIS,2003-02-13 11:56:00,9.66,9,33.53,0.5
OSK,2003-02-13 14:41:00,8.48,10.9,32.5,5.4
KIS,2003-02-13 15:05:00,9.38,9.5,33.57,0.8
OSK,2003-02-17 08:32:00,8.67,9.1,32.99,2.4
OSK,2003-02-17 09:00:00,8.1,12,31.15,12
OSK,2003-02-17 09:59:00,9.34,9,33.16,1.5
OSK,2003-02-17 10:19:00,8.33,12.6,30.94,11
AKI,2003-02-17 10:30:00,10.88,8.3,34.07,0.5
HAR,2003-02-17 10:34:00,8.58,9.4,33.74,0.3
OSK,2003-02-17 11:12:00,9.11,9,33.11,1.5
AKI,2003-02-17 11:15:00,10.7,8.2,34.01,0.6
AKI,2003-02-17 12:26:00,10.68,8.2,34.03,0.8
KIS,2003-02-17 13:18:00,8.97,9.5,33.05,1
HAR,2003-02-17 14:02:00,8.45,9.5,33.64,0.3
OSK,2003-02-17 14:11:00,8.62,13.9,30.51,20
KIS,2003-02-18 08:24:00,9.66,8.8,33.24,1.2
KIS,2003-02-18 09:12:00,9.11,9.1,33.12,0.4
OSK,2003-02-18 09:17:00,8.1,9.9,32.75,3.3
KIS,2003-02-18 10:02:00,15.05,7.6,34.62,1
HAR,2003-02-18 11:04:00,8.51,9.5,33.78,0.3
KIS,2003-02-18 11:17:00,15.34,7.6,34.59,0.8
HAR,2003-02-18 12:17:00,8.61,9.2,33.71,0.3
KIS,2003-02-18 12:34:00,15.7,7.8,34.66,1.7
KIS,2003-02-18 13:52:00,13.45,8.1,34.22,1.8
OSK,2003-02-18 14:33:00,8.36,11.2,32.21,5.8
KIS,2003-02-19 09:15:00,9.42,9.2,33.58,0.1
KIS,2003-02-19 09:53:00,9.01,9.3,33.08,0.8
KIS,2003-02-19 10:22:00,11.83,8.5,34.18,0.1
KIS,2003-02-19 11:36:00,10.02,9.3,33.49,0.3
IY2,2003-02-20 09:34:00,10.91,8.6,34.06,0.6
IY2,2003-02-20 10:57:00,10.54,8,33.83,0.5
HAR,2003-02-20 15:07:00,8.4,10,33.21,3.5
HAR,2003-02-20 16:21:00,8.63,9.7,33.33,2.5
IY2,2003-02-21 09:31:00,10.72,8.7,34,0.7
IY2,2003-02-21 11:39:00,11.13,8.5,34.09,0.7
HAR,2003-02-21 14:50:00,8.62,9.3,33.69,0.7
HAR,2003-02-21 15:59:00,8.89,9.5,33.55,1
AKI,2003-02-24 10:00:00,10.41,8.5,33.94,0.8
AKI,2003-02-24 10:45:00,10.38,8.4,33.91,1.1
AKI,2003-02-24 11:25:00,10.41,8.4,33.91,0.9
HAR,2003-02-24 14:41:00,8.36,9.8,33.48,0.7
AKI,2003-02-24 14:48:00,10.61,8.4,33.94,1
HAR,2003-02-24 15:50:00,8.22,9.6,33.39,1.1
HAR,2003-02-24 17:03:00,8.42,9.5,32.74,0.8
AKI,2003-02-25 09:00:00,10.45,8.9,33.94,6.8
HIU,2003-02-25 09:35:00,10.19,9.1,33.58,2.5
AKI,2003-02-25 10:35:00,10.7,8.7,33.98,1
HIU,2003-02-25 10:47:00,10.07,9.1,33.63,3.8
HIU,2003-02-25 12:00:00,10.03,9.6,33.53,2.6
HIU,2003-02-25 13:12:00,9.95,8.8,33.86,1.1
AKI,2003-02-25 13:13:00,10.84,9,33.9,1
AKI,2003-02-25 14:20:00,10.49,9.4,33.69,2.8
HAR,2003-02-25 14:26:00,8.59,9.6,33.48,0.2
HAR,2003-02-25 15:35:00,8.55,9.8,33.14,1.2
HAR,2003-02-25 16:44:00,8.37,9.9,32.87,1.6
HIU,2003-02-26 08:59:00,10.39,8.6,33.95,0.8
HRS,2003-02-26 10:00:00,10.08,9.5,33.39,2.8
HIU,2003-02-26 10:13:00,10.3,8.7,33.93,1.3
HIU,2003-02-26 11:25:00,10.1,8.8,33.88,1.5
HRS,2003-02-26 11:30:00,10.44,9.5,33.67,1.5
HIU,2003-02-26 13:17:00,10.38,8.6,33.93,1.2
HRS,2003-02-26 14:43:00,10.65,9,33.86,1.8
HAR,2003-02-26 15:46:00,8.54,9.5,33.53,0.3
