datetime,hour,minute,kai,Tem,DO,Sal,nissyaryou,Chl.a
2000-05-15,11,36,BS2,16.56,8.3,32.16,9.5,1.1
2000-05-15,14,4,BS2,15.56,8.4,32.34,9.5,1.4
2000-05-15,15,19,BS2,16.04,8.3,32.42,9.5,4.2
2000-05-16,8,52,BS2,16.31,8.4,32.62,14.8,4.1
2000-05-16,9,50,IY2,14.4,8.2,33.4,14.8,1.0
2000-05-16,10,18,BS2,16.47,8.8,32.03,14.8,2.0
2000-05-16,11,15,IY2,15.5,8.2,33.7,14.8,0.4
2000-05-16,13,30,IY2,16.1,8.2,33.4,14.8,0.9
2000-05-16,14,1,BS2,16.85,8.5,31.92,14.8,1.2
2000-05-16,15,14,BS2,16.98,8.8,32.08,14.8,3.1
2000-05-17,9,45,AKI,14.4,8.2,33.5,20.0,0.9
2000-05-17,10,45,AKI,14.5,8.2,33.4,20.0,0.9
2000-05-17,10,47,HIU,17.18,8.2,32.77,20.0,0.7
2000-05-17,12,15,AKI,14.5,8.2,33.3,20.0,1.2
2000-05-17,13,22,HIU,17.47,8.2,32.79,20.0,0.5
2000-05-17,14,9,HIU,17.94,8.2,32.74,20.0,2.7
2000-05-17,15,13,HIU,18.92,7.9,32.63,20.0,0.5
2000-05-18,9,44,BS1,16.64,8.1,32.67,26.3,0.8
2000-05-18,14,39,BS1,17.95,8.1,32.85,26.3,0.5
2000-05-18,15,36,BS1,16.45,8.2,32.93,26.3,0.9
2000-05-19,10,50,BS1,17.33,8.3,32.81,6.1,0.2
2000-05-19,11,32,BS1,16.93,8.3,32.71,6.1,0.3
2000-05-19,13,44,BS1,16.86,8.4,32.58,6.1,1.0
2000-05-19,15,35,BS1,16.61,8.0,32.65,6.1,1.2
2000-05-19,16,44,BS1,16.82,8.1,32.7,6.1,1.2
2000-05-22,9,53,KIS,17.96,8.2,32.99,20.8,0.3
2000-05-22,10,41,AKI,15.49,8.3,33.15,20.8,1.5
2000-05-22,11,20,KIS,16.76,8.7,32.65,20.8,0.5
2000-05-22,12,46,KIS,18.96,8.0,33.95,20.8,0.1
2000-05-22,14,6,KIS,18.72,8.6,33.73,20.8,0.2
2000-05-23,8,42,KIS,18.0,7.9,33.23,23.6,0.3
2000-05-23,9,25,AKI,15.63,8.4,33.1,23.6,2.1
2000-05-23,9,30,HIU,16.1,8.0,33.0,23.6,1.0
2000-05-23,9,40,KIS,18.92,7.7,33.67,23.6,0.2
2000-05-23,10,30,HIU,18.0,8.8,33.0,23.6,1.2
2000-05-23,10,59,KIS,18.29,8.2,32.97,23.6,1.4
2000-05-23,11,11,AKI,15.15,8.4,33.37,23.6,0.9
2000-05-23,11,40,HIU,18.2,9.0,32.9,23.6,0.6
2000-05-23,12,20,KIS,16.56,7.6,33.13,23.6,0.7
2000-05-23,12,45,HIU,17.9,8.2,33.0,23.6,0.2
2000-05-23,13,50,AKI,15.1,8.2,33.22,23.6,0.8
2000-05-23,14,56,AKI,16.28,8.3,33.15,23.6,1.0
2000-05-24,8,55,HIU,15.9,9.0,33.2,26.4,1.8
2000-05-24,9,27,OSK,16.56,9.9,32.17,26.4,1.5
2000-05-24,10,5,HIU,18.6,7.9,33.0,26.4,0.4
2000-05-24,10,5,HRS,17.86,8.1,32.61,26.4,1.1
2000-05-24,10,45,OSK,17.06,10.7,31.95,26.4,2.0
2000-05-24,11,15,HIU,18.3,7.9,33.0,26.4,0.5
2000-05-24,11,37,OSK,18.2,11.3,31.99,26.4,2.1
2000-05-24,13,10,HIU,16.7,8.1,33.1,26.4,0.9
2000-05-24,13,27,HRS,17.83,7.9,32.65,26.4,0.7
2000-05-24,14,28,HRS,15.95,7.9,33.15,26.4,0.7
2000-05-25,9,36,HRS,16.66,8.2,33.05,29.4,0.8
2000-05-25,10,35,HRS,17.9,8.3,32.82,29.4,1.1
2000-05-25,13,35,HRS,18.85,10.6,31.86,29.4,2.3
2000-05-25,14,47,HRS,18.27,9.0,32.36,29.4,2.2
2000-05-26,9,54,AKI,15.63,8.2,33.25,15.3,1.3
2000-05-26,10,46,AKI,15.44,8.2,33.23,15.3,1.1
2000-08-21,9,59,AKI,24.54,6.7,32.9,22.4,1.2
2000-08-21,10,42,AKI,25.31,6.4,32.85,22.4,1.6
2000-08-21,11,21,AKI,26.01,6.3,32.79,22.4,2.0
2000-08-21,14,53,AKI,24.37,6.9,32.96,22.4,1.5
2000-08-22,8,40,OSK,27.9,6.7,28.66,21.5,10.2
2000-08-22,9,30,HIU,28.92,7.2,32.78,21.5,1.0
2000-08-22,9,32,HRS,25.24,6.9,32.39,21.5,2.4
2000-08-22,9,49,OSK,26.74,7.5,31.81,21.5,7.4
2000-08-22,10,16,OSK,25.09,6.0,32.92,21.5,0.5
2000-08-22,10,37,HRS,25.51,7.2,32.13,21.5,2.0
2000-08-22,10,40,HIU,29.5,8.1,32.54,21.5,2.2
2000-08-22,11,30,OSK,25.51,6.3,32.9,21.5,0.3
2000-08-22,11,37,HRS,25.43,6.9,31.85,21.5,4.9
2000-08-22,11,55,HIU,27.82,8.1,32.63,21.5,1.6
2000-08-22,12,23,OSK,25.98,6.2,33.12,21.5,0.5
2000-08-22,13,5,HIU,28.03,6.8,32.71,21.5,7.4
2000-08-22,14,11,OSK,26.18,6.8,32.57,21.5,4.6
2000-08-22,14,21,HRS,24.71,5.6,32.2,21.5,5.7
2000-08-22,15,18,OSK,27.85,7.6,31.16,21.5,5.3
2000-08-23,8,25,KIS,26.56,6.4,32.99,22.5,0.2
2000-08-23,8,46,OSK,25.47,5.7,32.7,22.5,0.8
2000-08-23,8,55,HIU,27.17,7.1,32.82,22.5,3.8
2000-08-23,9,38,KIS,26.28,6.6,33.06,22.5,0.1
2000-08-23,9,50,OSK,26.53,6.5,32.15,22.5,7.2
2000-08-23,10,10,HIU,28.01,7.2,32.79,22.5,1.4
