kai,datetime,Tem,DO,Sal,Chl.a
BS2,2000-05-15 11:36:00,16.56,8.3,32.16,1.1
BS2,2000-05-15 14:04:00,15.56,8.4,32.34,1.4
BS2,2000-05-15 15:19:00,16.04,8.3,32.42,4.2
BS2,2000-05-16 08:52:00,16.31,8.4,32.62,4.1
IY2,2000-05-16 09:50:00,14.4,8.2,33.4,1
BS2,2000-05-16 10:18:00,16.47,8.8,32.03,2
IY2,2000-05-16 11:15:00,15.5,8.2,33.7,0.4
IY2,2000-05-16 13:30:00,16.1,8.2,33.4,0.9
BS2,2000-05-16 14:01:00,16.85,8.5,31.92,1.2
BS2,2000-05-16 15:14:00,16.98,8.8,32.08,3.1
AKI,2000-05-17 09:45:00,14.4,8.2,33.5,0.9
AKI,2000-05-17 10:45:00,14.5,8.2,33.4,0.9
HIU,2000-05-17 10:47:00,17.18,8.2,32.77,0.7
AKI,2000-05-17 12:15:00,14.5,8.2,33.3,1.2
HIU,2000-05-17 13:22:00,17.47,8.2,32.79,0.5
HIU,2000-05-17 14:09:00,17.94,8.2,32.74,2.7
HIU,2000-05-17 15:13:00,18.92,7.9,32.63,0.5
BS1,2000-05-18 09:44:00,16.64,8.1,32.67,0.8
BS1,2000-05-18 14:39:00,17.95,8.1,32.85,0.5
BS1,2000-05-18 15:36:00,16.45,8.2,32.93,0.9
BS1,2000-05-19 10:50:00,17.33,8.3,32.81,0.2
BS1,2000-05-19 11:32:00,16.93,8.3,32.71,0.3
BS1,2000-05-19 13:44:00,16.86,8.4,32.58,1
BS1,2000-05-19 15:35:00,16.61,8,32.65,1.2
BS1,2000-05-19 16:44:00,16.82,8.1,32.7,1.2
KIS,2000-05-22 09:53:00,17.96,8.2,32.99,0.3
AKI,2000-05-22 10:41:00,15.49,8.3,33.15,1.5
KIS,2000-05-22 11:20:00,16.76,8.7,32.65,0.5
KIS,2000-05-22 12:46:00,18.96,8,33.95,0.1
KIS,2000-05-22 14:06:00,18.72,8.6,33.73,0.2
KIS,2000-05-23 08:42:00,18,7.9,33.23,0.3
AKI,2000-05-23 09:25:00,15.63,8.4,33.1,2.1
HIU,2000-05-23 09:30:00,16.1,8,33,1
KIS,2000-05-23 09:40:00,18.92,7.7,33.67,0.2
HIU,2000-05-23 10:30:00,18,8.8,33,1.2
KIS,2000-05-23 10:59:00,18.29,8.2,32.97,1.4
AKI,2000-05-23 11:11:00,15.15,8.4,33.37,0.9
HIU,2000-05-23 11:40:00,18.2,9,32.9,0.6
KIS,2000-05-23 12:20:00,16.56,7.6,33.13,0.7
HIU,2000-05-23 12:45:00,17.9,8.2,33,0.2
AKI,2000-05-23 13:50:00,15.1,8.2,33.22,0.8
AKI,2000-05-23 14:56:00,16.28,8.3,33.15,1
HIU,2000-05-24 08:55:00,15.9,9,33.2,1.8
OSK,2000-05-24 09:27:00,16.56,9.9,32.17,1.5
HIU,2000-05-24 10:05:00,18.6,7.9,33,0.4
HRS,2000-05-24 10:05:00,17.86,8.1,32.61,1.1
OSK,2000-05-24 10:45:00,17.06,10.7,31.95,2
HIU,2000-05-24 11:15:00,18.3,7.9,33,0.5
OSK,2000-05-24 11:37:00,18.2,11.3,31.99,2.1
HIU,2000-05-24 13:10:00,16.7,8.1,33.1,0.9
HRS,2000-05-24 13:27:00,17.83,7.9,32.65,0.7
HRS,2000-05-24 14:28:00,15.95,7.9,33.15,0.7
HRS,2000-05-25 09:36:00,16.66,8.2,33.05,0.8
HRS,2000-05-25 10:35:00,17.9,8.3,32.82,1.1
HRS,2000-05-25 13:35:00,18.85,10.6,31.86,2.3
HRS,2000-05-25 14:47:00,18.27,9,32.36,2.2
AKI,2000-05-26 09:54:00,15.63,8.2,33.25,1.3
AKI,2000-05-26 10:46:00,15.44,8.2,33.23,1.1
AKI,2000-08-21 09:59:00,24.54,6.7,32.9,1.2
AKI,2000-08-21 10:42:00,25.31,6.4,32.85,1.6
AKI,2000-08-21 11:21:00,26.01,6.3,32.79,2
AKI,2000-08-21 14:53:00,24.37,6.9,32.96,1.5
OSK,2000-08-22 08:40:00,27.9,6.7,28.66,10.2
HIU,2000-08-22 09:30:00,28.92,7.2,32.78,1
HRS,2000-08-22 09:32:00,25.24,6.9,32.39,2.4
OSK,2000-08-22 09:49:00,26.74,7.5,31.81,7.4
OSK,2000-08-22 10:16:00,25.09,6,32.92,0.5
HRS,2000-08-22 10:37:00,25.51,7.2,32.13,2
HIU,2000-08-22 10:40:00,29.5,8.1,32.54,2.2
OSK,2000-08-22 11:30:00,25.51,6.3,32.9,0.3
HRS,2000-08-22 11:37:00,25.43,6.9,31.85,4.9
HIU,2000-08-22 11:55:00,27.82,8.1,32.63,1.6
OSK,2000-08-22 12:23:00,25.98,6.2,33.12,0.5
HIU,2000-08-22 13:05:00,28.03,6.8,32.71,7.4
OSK,2000-08-22 14:11:00,26.18,6.8,32.57,4.6
HRS,2000-08-22 14:21:00,24.71,5.6,32.2,5.7
OSK,2000-08-22 15:18:00,27.85,7.6,31.16,5.3
KIS,2000-08-23 08:25:00,26.56,6.4,32.99,0.2
OSK,2000-08-23 08:46:00,25.47,5.7,32.7,0.8
HIU,2000-08-23 08:55:00,27.17,7.1,32.82,3.8
KIS,2000-08-23 09:38:00,26.28,6.6,33.06,0.1
