,date,u,v,uv,u_sabunn_m,v_sabunn_m,delta_lat,delta_lng
0,2016/09/01 00:00,21.8,-25.06,33.215,784.8,-902.16,0.123183,-0.142685
1,2016/09/01 01:00,19.51,-22.74,29.962,702.36,-818.64,0.110243,-0.12928
2,2016/09/01 02:00,14.69,-16.87,22.369,528.84,-607.32,0.083007,-0.095655
3,2016/09/01 03:00,5.91,-8.19,10.1,212.76,-294.84,0.033395,-0.046304
4,2016/09/01 04:00,-7.57,4.11,8.614,-272.52,147.96,-0.042775,0.023245
5,2016/09/01 05:00,-19.58,17.36,26.168,-704.88,624.96,-0.110639,0.098698
6,2016/09/01 06:00,-25.12,22.81,33.931,-904.32,821.16,-0.141943,0.1302
7,2016/09/01 07:00,-22.93,21.13,31.181,-825.48,760.68,-0.129568,0.120407
8,2016/09/01 08:00,-16.03,15.15,22.056,-577.08,545.4,-0.090579,0.085959
9,2016/09/01 09:00,-2.97,4.37,5.284,-106.92,157.32,-0.016782,0.024697
10,2016/09/01 10:00,15.99,-12.58,20.345,575.64,-452.88,0.090353,-0.071376
11,2016/09/01 11:00,20.39,-23.3,30.962,734.04,-838.8,0.115216,-0.132538
12,2016/09/01 12:00,22.52,-25.36,33.916,810.72,-912.96,0.127252,-0.144467
13,2016/09/01 13:00,20.37,-23.07,30.776,733.32,-830.52,0.115103,-0.131228
14,2016/09/01 14:00,15.05,-17.37,22.983,541.8,-625.32,0.085042,-0.098507
15,2016/09/01 15:00,5.92,-8.77,10.581,213.12,-315.72,0.033452,-0.049584
16,2016/09/01 16:00,-10.52,5.27,11.766,-378.72,189.72,-0.059444,0.029831
17,2016/09/01 17:00,-24.46,20.6,31.979,-880.56,741.6,-0.138214,0.117523
18,2016/09/01 18:00,-29.3,25.35,38.744,-1054.8,912.6,-0.165563,0.145229
19,2016/09/01 19:00,-26.81,23.9,35.916,-965.16,860.4,-0.151493,0.136614
20,2016/09/01 20:00,-21.21,19.1,28.542,-763.56,687.6,-0.119849,0.108706
21,2016/09/01 21:00,-8.52,8.76,12.22,-306.72,315.36,-0.048143,0.049557
22,2016/09/01 22:00,12.89,-7.91,15.123,464.04,-284.76,0.072836,-0.044815
23,2016/09/01 23:00,19.54,-21.77,29.253,703.44,-783.72,0.110413,-0.123767
24,2016/09/02 00:00,21.73,-25.58,33.564,782.28,-920.88,0.122788,-0.145639
25,2016/09/02 01:00,20.93,-24.15,31.958,753.48,-869.4,0.118267,-0.137422
26,2016/09/02 02:00,17.96,-20.64,27.36,646.56,-743.04,0.101485,-0.117232
27,2016/09/02 03:00,10.51,-13.2,16.873,378.36,-475.2,0.059388,-0.07472
28,2016/09/02 04:00,-2.59,-1.67,3.082,-93.24,-60.12,-0.014635,-0.009438
29,2016/09/02 05:00,-17.79,13.71,22.46,-640.44,493.56,-0.100524,0.077863
30,2016/09/02 06:00,-26.42,23.2,35.16,-951.12,835.2,-0.149289,0.132569
31,2016/09/02 07:00,-26.93,23.92,36.019,-969.48,861.12,-0.152171,0.136743
32,2016/09/02 08:00,-22.29,20.11,30.021,-802.44,723.96,-0.125952,0.114541
33,2016/09/02 09:00,-13.07,12.13,17.831,-470.52,436.68,-0.073853,0.068729
34,2016/09/02 10:00,4.01,-0.96,4.123,144.36,-34.56,0.022659,-0.005426
35,2016/09/02 11:00,17.93,-17.52,25.069,645.48,-630.72,0.101315,-0.099509
36,2016/09/02 12:00,20.26,-23.98,31.393,729.36,-863.28,0.114481,-0.136394
37,2016/09/02 13:00,21.04,-24.65,32.408,757.44,-887.4,0.118889,-0.140278
38,2016/09/02 14:00,17.31,-20.57,26.884,623.16,-740.52,0.097812,-0.116791
39,2016/09/02 15:00,10.5,-13.76,17.309,378.0,-495.36,0.059331,-0.077889
40,2016/09/02 16:00,-3.45,-1.91,3.943,-124.2,-68.76,-0.019495,-0.010795
41,2016/09/02 17:00,-21.26,15.92,26.56,-765.36,573.12,-0.120132,0.090611
42,2016/09/02 18:00,-30.48,25.8,39.933,-1097.28,928.8,-0.17223,0.147975
43,2016/09/02 19:00,-30.58,26.91,40.734,-1100.88,968.76,-0.172795,0.154356
44,2016/09/02 20:00,-28.12,25.07,37.673,-1012.32,902.52,-0.158895,0.143468
45,2016/09/02 21:00,-19.64,17.68,26.426,-707.04,636.48,-0.110978,0.100521
46,2016/09/02 22:00,-4.0,5.15,6.521,-144.0,185.4,-0.022602,0.029108
47,2016/09/02 23:00,16.66,-12.8,21.009,599.76,-460.8,0.094139,-0.072649
48,2016/09/03 00:00,19.77,-22.31,29.809,711.72,-803.16,0.111712,-0.126856
49,2016/09/03 01:00,20.49,-24.15,31.671,737.64,-869.4,0.115781,-0.137382
50,2016/09/03 02:00,18.23,-21.6,28.265,656.28,-777.6,0.103011,-0.122703
51,2016/09/03 03:00,13.8,-16.73,21.687,496.8,-602.28,0.077978,-0.094823
52,2016/09/03 04:00,3.39,-6.95,7.733,122.04,-250.2,0.019156,-0.039279
53,2016/09/03 05:00,-13.96,8.54,16.365,-502.56,307.44,-0.078882,0.048407
54,2016/09/03 06:00,-25.74,22.05,33.893,-926.64,793.8,-0.145447,0.125925
55,2016/09/03 07:00,-29.67,25.83,39.338,-1068.12,929.88,-0.167653,0.148031
56,2016/09/03 08:00,-27.65,24.31,36.817,-995.4,875.16,-0.156239,0.13906
57,2016/09/03 09:00,-22.46,19.62,29.823,-808.56,706.32,-0.126913,0.111764
58,2016/09/03 10:00,-10.13,8.96,13.524,-364.68,322.56,-0.057241,0.050712
59,2016/09/03 11:00,9.14,-6.27,11.084,329.04,-225.72,0.051647,-0.035477
60,2016/09/03 12:00,17.81,-19.39,26.328,641.16,-698.04,0.100637,-0.110122
