,date,u,v,uv,u_sabunn_m,v_sabunn_m,delta_lat,delta_lng
0,2016/1/1 0:00,-7.25,8.52,11.187,-261,306.72,-0.040967,0.048184
1,2016/1/1 1:00,7.32,-3.56,8.14,263.52,-128.16,0.041362,-0.020133
2,2016/1/1 2:00,16.1,-17.48,23.765,579.6,-629.28,0.090975,-0.099183
3,2016/1/1 3:00,18.84,-21.21,28.369,678.24,-763.56,0.106457,-0.120532
4,2016/1/1 4:00,19.16,-21.12,28.516,689.76,-760.32,0.108266,-0.120044
5,2016/1/1 5:00,16.18,-18.04,24.233,582.48,-649.44,0.091427,-0.102364
6,2016/1/1 6:00,11.81,-13.61,18.02,425.16,-489.96,0.066734,-0.077076
7,2016/1/1 7:00,4.26,-6.81,8.033,153.36,-245.16,0.024072,-0.038492
8,2016/1/1 8:00,-6.47,1.71,6.692,-232.92,61.56,-0.036559,0.009669
9,2016/1/1 9:00,-15.84,12.82,20.378,-570.24,461.52,-0.089506,0.072732
10,2016/1/1 10:00,-20.14,17.79,26.872,-725.04,640.44,-0.113803,0.101179
11,2016/1/1 11:00,-19.41,17.52,26.148,-698.76,630.72,-0.109678,0.099597
12,2016/1/1 12:00,-12.18,11.67,16.868,-438.48,420.12,-0.068824,0.066099
13,2016/1/1 13:00,0.89,1.64,1.866,32.04,59.04,0.005029,0.009267
14,2016/1/1 14:00,15.75,-13.06,20.46,567,-470.16,0.088997,-0.07409
15,2016/1/1 15:00,18.65,-20.65,27.825,671.4,-743.4,0.105384,-0.117336
16,2016/1/1 16:00,20.05,-22,29.766,721.8,-792,0.113295,-0.125115
17,2016/1/1 17:00,17.68,-19.42,26.262,636.48,-699.12,0.099903,-0.110285
18,2016/1/1 18:00,14.05,-15.54,20.95,505.8,-559.44,0.079391,-0.088088
19,2016/1/1 19:00,7.91,-9.31,12.217,284.76,-335.16,0.044696,-0.05266
20,2016/1/1 20:00,-0.67,-1.3,1.462,-24.12,-46.8,-0.003786,-0.007346
21,2016/1/1 21:00,-9.98,7.61,12.55,-359.28,273.96,-0.056393,0.04307
22,2016/1/1 22:00,-15.99,14.27,21.432,-575.64,513.72,-0.090353,0.080964
23,2016/1/1 23:00,-18.2,16.28,24.419,-655.2,586.08,-0.102841,0.09248
24,2016/1/2 0:00,-15.47,14.18,20.986,-556.92,510.48,-0.087415,0.080433
25,2016/1/2 1:00,-8.16,8.34,11.668,-293.76,300.24,-0.046109,0.047176
26,2016/1/2 2:00,5.07,-2.48,5.644,182.52,-89.28,0.028649,-0.014019
27,2016/1/2 3:00,14.95,-14.58,20.883,538.2,-524.88,0.084477,-0.082681
28,2016/1/2 4:00,17.06,-18.57,25.217,614.16,-668.52,0.096399,-0.105421
29,2016/1/2 5:00,17.07,-18.3,25.025,614.52,-658.8,0.096456,-0.103889
30,2016/1/2 6:00,14.41,-15.41,21.098,518.76,-554.76,0.081425,-0.087365
31,2016/1/2 7:00,9.79,-10.69,14.496,352.44,-384.84,0.055319,-0.060498
32,2016/1/2 8:00,2.38,-4.09,4.732,85.68,-147.24,0.013448,-0.023113
33,2016/1/2 9:00,-6.63,3.58,7.535,-238.68,128.88,-0.037464,0.020243
34,2016/1/2 10:00,-13.69,11.68,17.996,-492.84,420.48,-0.077357,0.066197
35,2016/1/2 11:00,-16.65,15.17,22.524,-599.4,546.12,-0.094083,0.0861
36,2016/1/2 12:00,-14.57,14.2,20.345,-524.52,511.2,-0.082329,0.080511
37,2016/1/2 13:00,-5.61,7.9,9.689,-201.96,284.4,-0.0317,0.044662
38,2016/1/2 14:00,9.33,-4.12,10.199,335.88,-148.32,0.05272,-0.023313
39,2016/1/2 15:00,17.02,-15.86,23.264,612.72,-570.96,0.096173,-0.090035
40,2016/1/2 16:00,17.73,-18.94,25.944,638.28,-681.84,0.100185,-0.107562
41,2016/1/2 17:00,17.53,-18.9,25.778,631.08,-680.4,0.099055,-0.107323
42,2016/1/2 18:00,15.23,-16.57,22.506,548.28,-596.52,0.086059,-0.093978
43,2016/1/2 19:00,11.78,-12.85,17.432,424.08,-462.6,0.066564,-0.072771
44,2016/1/2 20:00,5.87,-7.01,9.143,211.32,-252.36,0.033169,-0.039633
45,2016/1/2 21:00,-2.06,-0.07,2.061,-74.16,-2.52,-0.01164,-0.000396
46,2016/1/2 22:00,-9.82,7.52,12.369,-353.52,270.72,-0.055489,0.042558
47,2016/1/2 23:00,-15.12,13.42,20.217,-544.32,483.12,-0.085437,0.076109
48,2016/1/3 0:00,-17.26,15.39,23.125,-621.36,554.04,-0.097529,0.087378
49,2016/1/3 1:00,-14.48,13.29,19.654,-521.28,478.44,-0.081821,0.075349
50,2016/1/3 2:00,-7.71,7.79,10.96,-277.56,280.44,-0.043566,0.04406
51,2016/1/3 3:00,3.21,-1.35,3.482,115.56,-48.6,0.018138,-0.00763
52,2016/1/3 4:00,11.49,-11.36,16.158,413.64,-408.96,0.064925,-0.064326
53,2016/1/3 5:00,13.41,-15.9,20.8,482.76,-572.4,0.075775,-0.090103
54,2016/1/3 6:00,13.73,-16.35,21.35,494.28,-588.6,0.077583,-0.092666
55,2016/1/3 7:00,12.38,-14.57,19.119,445.68,-524.52,0.069954,-0.082531
56,2016/1/3 8:00,8.77,-10.73,13.858,315.72,-386.28,0.049556,-0.060706
57,2016/1/3 9:00,2.86,-5.27,5.996,102.96,-189.72,0.016161,-0.029783
58,2016/1/3 10:00,-4.82,1.42,5.025,-173.52,51.12,-0.027236,0.008027
59,2016/1/3 11:00,-11.21,8.69,14.184,-403.56,312.84,-0.063343,0.049202
60,2016/1/3 12:00,-14.48,13.15,19.56,-521.28,473.4,-0.081821,0.074555
61,2016/1/3 13:00,-13.68,12.87,18.782,-492.48,463.32,-0.0773,0.072941
62,2016/1/3 14:00,-8.48,8.73,12.171,-305.28,314.28,-0.047917,0.049386
63,2016/1/3 15:00,1.56,0.56,1.657,56.16,20.16,0.008815,0.003164
64,2016/1/3 16:00,11.88,-10.13,15.613,427.68,-364.68,0.067129,-0.05737
65,2016/1/3 17:00,14.64,-15.74,21.496,527.04,-566.64,0.082725,-0.089246
66,2016/1/3 18:00,15.09,-16.9,22.657,543.24,-608.4,0.085268,-0.095843
67,2016/1/3 19:00,13.98,-15.57,20.925,503.28,-560.52,0.078995,-0.088255
68,2016/1/3 20:00,10.63,-11.92,15.971,382.68,-429.12,0.060066,-0.067477
69,2016/1/3 21:00,5.44,-6.8,8.708,195.84,-244.8,0.030739,-0.038442
70,2016/1/3 22:00,-1.42,-0.73,1.597,-51.12,-26.28,-0.008024,-0.004125
71,2016/1/3 23:00,-8.57,5.92,10.416,-308.52,213.12,-0.048426,0.033491
72,2016/1/4 0:00,-13.53,11.65,17.855,-487.08,419.4,-0.076453,0.066022
73,2016/1/4 1:00,-16.31,14.39,21.751,-587.16,518.04,-0.092161,0.081659
74,2016/1/4 2:00,-14.51,13.24,19.643,-522.36,476.64,-0.08199,0.075066
75,2016/1/4 3:00,-9.14,9.03,12.848,-329.04,325.08,-0.051647,0.051093
76,2016/1/4 4:00,0.24,1.34,1.361,8.64,48.24,0.001356,0.007572
77,2016/1/4 5:00,10.29,-8.54,13.372,370.44,-307.44,0.058145,-0.048338
78,2016/1/4 6:00,13.64,-15.11,20.356,491.04,-543.96,0.077074,-0.085635
79,2016/1/4 7:00,14.59,-16.87,22.304,525.24,-607.32,0.082442,-0.095651
80,2016/1/4 8:00,14.2,-16.14,21.497,511.2,-581.04,0.080239,-0.091495
81,2016/1/4 9:00,11.42,-13.07,17.356,411.12,-470.52,0.06453,-0.074007
82,2016/1/4 10:00,7.63,-8.94,11.753,274.68,-321.84,0.043114,-0.050563
83,2016/1/4 11:00,4.18,-4.37,6.047,150.48,-157.32,0.02362,-0.0247
84,2016/1/4 12:00,-0.16,-0.38,0.412,-5.76,-13.68,-0.000904,-0.002147
85,2016/1/4 13:00,-4.43,4.57,6.365,-159.48,164.52,-0.025032,0.025831
86,2016/1/4 14:00,-5.17,7.01,8.71,-186.12,252.36,-0.029214,0.039628
87,2016/1/4 15:00,-0.92,4.94,5.025,-33.12,177.84,-0.005199,0.027914
88,2016/1/4 16:00,7.76,-2.25,8.08,279.36,-81,0.043849,-0.012726
89,2016/1/4 17:00,13.36,-11.33,17.517,480.96,-407.88,0.075492,-0.064204
90,2016/1/4 18:00,14.88,-15.63,21.58,535.68,-562.68,0.084081,-0.088632
91,2016/1/4 19:00,15.22,-16.76,22.639,547.92,-603.36,0.086002,-0.095055
92,2016/1/4 20:00,14.55,-16.53,22.021,523.8,-595.08,0.082216,-0.093721
93,2016/1/4 21:00,12.52,-14.34,19.036,450.72,-516.24,0.070746,-0.081233
94,2016/1/4 22:00,8.49,-10.2,13.271,305.64,-367.2,0.047974,-0.057703
95,2016/1/4 23:00,2.97,-5.31,6.084,106.92,-191.16,0.016782,-0.030009
96,2016/1/5 0:00,-4.22,0.48,4.247,-151.92,17.28,-0.023846,0.002713
97,2016/1/5 1:00,-11.1,8.25,13.83,-399.6,297,-0.062722,0.046709
98,2016/1/5 2:00,-15.03,13.57,20.25,-541.08,488.52,-0.084929,0.076956
99,2016/1/5 3:00,-14.06,13.52,19.506,-506.16,486.72,-0.079447,0.076638
100,2016/1/5 4:00,-9.09,9.69,13.286,-327.24,348.84,-0.051364,0.054827
101,2016/1/5 5:00,0.62,1.89,1.989,22.32,68.04,0.003503,0.01068
102,2016/1/5 6:00,10.69,-8.83,13.865,384.84,-317.88,0.060405,-0.049986
103,2016/1/5 7:00,14.35,-16.39,21.784,516.6,-590.04,0.081086,-0.092919
104,2016/1/5 8:00,15.78,-18.42,24.255,568.08,-663.12,0.089167,-0.104499
105,2016/1/5 9:00,15.82,-17.94,23.919,569.52,-645.84,0.089393,-0.101778
106,2016/1/5 10:00,13.63,-15.36,20.535,490.68,-552.96,0.077018,-0.087051
107,2016/1/5 11:00,9.33,-10.95,14.386,335.88,-394.2,0.05272,-0.06196
108,2016/1/5 12:00,3.31,-5.12,6.097,119.16,-184.32,0.018704,-0.028936
109,2016/1/5 13:00,-3.86,1.1,4.014,-138.96,39.6,-0.021811,0.006217
110,2016/1/5 14:00,-9.5,7.86,12.33,-342,282.96,-0.053681,0.044478
111,2016/1/5 15:00,-12.07,11.79,16.873,-434.52,424.44,-0.068203,0.066776
112,2016/1/5 16:00,-10.64,10.99,15.297,-383.04,395.64,-0.060122,0.062213
113,2016/1/5 17:00,-4.8,6.16,7.809,-172.8,221.76,-0.027123,0.034821
114,2016/1/5 18:00,5.59,-2.69,6.204,201.24,-96.84,0.031587,-0.015208
115,2016/1/5 19:00,13.1,-13.16,18.569,471.6,-473.76,0.074023,-0.074566
116,2016/1/5 20:00,15.9,-17.82,23.882,572.4,-641.52,0.089845,-0.101102
117,2016/1/5 21:00,16.69,-18.33,24.79,600.84,-659.88,0.094309,-0.104038
118,2016/1/5 22:00,14.41,-15.99,21.525,518.76,-575.64,0.081425,-0.090654
119,2016/1/5 23:00,9.39,-10.98,14.448,338.04,-395.28,0.053059,-0.062131
120,2016/1/6 0:00,2.88,-5,5.77,103.68,-180,0.016274,-0.028257
121,2016/1/6 1:00,-6.31,2.31,6.72,-227.16,83.16,-0.035655,0.013061
122,2016/1/6 2:00,-15.18,12.06,19.388,-546.48,434.16,-0.085776,0.068398
123,2016/1/6 3:00,-19.55,16.92,25.855,-703.8,609.12,-0.110469,0.096195
124,2016/1/6 4:00,-18.75,16.72,25.122,-675,601.92,-0.105949,0.095011
125,2016/1/6 5:00,-12.59,12,17.393,-453.24,432,-0.071141,0.067979
126,2016/1/6 6:00,-2.22,3.67,4.289,-79.92,132.12,-0.012544,0.020739
127,2016/1/6 7:00,10.71,-8.21,13.495,385.56,-295.56,0.060518,-0.046477
128,2016/1/6 8:00,15.27,-17.38,23.135,549.72,-625.68,0.086285,-0.098574
129,2016/1/6 9:00,17.05,-20.12,26.373,613.8,-724.32,0.096343,-0.11422
130,2016/1/6 10:00,17.07,-19.57,25.969,614.52,-704.52,0.096456,-0.111099
131,2016/1/6 11:00,14.66,-16.86,22.342,527.76,-606.96,0.082838,-0.095597
132,2016/1/6 12:00,10.12,-12.28,15.913,364.32,-442.08,0.057184,-0.069503
133,2016/1/6 13:00,2.49,-4.95,5.541,89.64,-178.2,0.01407,-0.027973
134,2016/1/6 14:00,-6.77,3.28,7.523,-243.72,118.08,-0.038255,0.018548
135,2016/1/6 15:00,-13.86,12.13,18.418,-498.96,436.68,-0.078317,0.068753
136,2016/1/6 16:00,-16.51,15.57,22.694,-594.36,560.52,-0.093291,0.088364
137,2016/1/6 17:00,-15.03,14.4,20.815,-541.08,518.4,-0.084929,0.081663
138,2016/1/6 18:00,-7.06,8.09,10.737,-254.16,291.24,-0.039893,0.04575
139,2016/1/6 19:00,7.3,-3.55,8.117,262.8,-127.8,0.041249,-0.020077
140,2016/1/6 20:00,16.92,-16.63,23.724,609.12,-598.68,0.095608,-0.094401
141,2016/1/6 21:00,19.49,-21.09,28.717,701.64,-759.24,0.11013,-0.119898
142,2016/1/6 22:00,19.57,-21.24,28.881,704.52,-764.64,0.110582,-0.120756
143,2016/1/6 23:00,16.61,-18.27,24.692,597.96,-657.72,0.093857,-0.103693
144,2016/1/7 0:00,11.78,-13.51,17.925,424.08,-486.36,0.066564,-0.076509
145,2016/1/7 1:00,4.5,-7.46,8.712,162,-268.56,0.025428,-0.042167
146,2016/1/7 2:00,-5.79,0.15,5.792,-208.44,5.4,-0.032717,0.000848
147,2016/1/7 3:00,-14.92,11.45,18.807,-537.12,412.2,-0.084307,0.06493
148,2016/1/7 4:00,-19.04,17.34,25.753,-685.44,624.24,-0.107588,0.098551
149,2016/1/7 5:00,-17.67,16.82,24.396,-636.12,605.52,-0.099846,0.095519
150,2016/1/7 6:00,-10.04,10.78,14.731,-361.44,388.08,-0.056732,0.061012
151,2016/1/7 7:00,2.93,0.71,3.015,105.48,25.56,0.016556,0.004012
152,2016/1/7 8:00,14.78,-13.9,20.289,532.08,-500.4,0.083516,-0.078818
153,2016/1/7 9:00,17.94,-21.29,27.841,645.84,-766.44,0.101372,-0.120922
154,2016/1/7 10:00,19.95,-22.79,30.288,718.2,-820.44,0.11273,-0.1296
155,2016/1/7 11:00,18.82,-21.12,28.289,677.52,-760.32,0.106344,-0.120019
156,2016/1/7 12:00,16.52,-18.18,24.565,594.72,-654.48,0.093348,-0.103177
157,2016/1/7 13:00,11.79,-12.86,17.447,424.44,-462.96,0.066621,-0.072828
158,2016/1/7 14:00,4.87,-5.79,7.566,175.32,-208.44,0.027518,-0.032729
159,2016/1/7 15:00,-4.03,1.59,4.332,-145.08,57.24,-0.022772,0.008987
160,2016/1/7 16:00,-11.73,10.49,15.736,-422.28,377.64,-0.066282,0.059405
161,2016/1/7 17:00,-14.37,14.6,20.486,-517.32,525.6,-0.081199,0.082772
162,2016/1/7 18:00,-11,11.96,16.249,-396,430.56,-0.062157,0.067712
163,2016/1/7 19:00,0.34,2.53,2.553,12.24,91.08,0.001921,0.014296
164,2016/1/7 20:00,14.48,-14.39,20.414,521.28,-518.04,0.081821,-0.081585
165,2016/1/7 21:00,20.2,-23.28,30.822,727.2,-838.08,0.114142,-0.132408
166,2016/1/7 22:00,23.27,-24.73,33.957,837.72,-890.28,0.13149,-0.140956
167,2016/1/7 23:00,21.79,-23.03,31.705,784.44,-829.08,0.123127,-0.131126
168,2016/1/8 0:00,17.61,-18.93,25.855,633.96,-681.48,0.099507,-0.107498
169,2016/1/8 1:00,11.64,-12.84,17.331,419.04,-462.24,0.065773,-0.072711
170,2016/1/8 2:00,1.94,-4.79,5.168,69.84,-172.44,0.010962,-0.027068
171,2016/1/8 3:00,-11.52,6.4,13.178,-414.72,230.4,-0.065095,0.036241
172,2016/1/8 4:00,-21.6,18.37,28.355,-777.6,661.32,-0.122053,0.10458
173,2016/1/8 5:00,-24.14,21.19,32.121,-869.04,762.84,-0.136406,0.120859
174,2016/1/8 6:00,-19.79,17.98,26.738,-712.44,647.28,-0.111825,0.102236
175,2016/1/8 7:00,-9.84,10.23,14.194,-354.24,368.28,-0.055602,0.057895
176,2016/1/8 8:00,5.06,-0.96,5.15,182.16,-34.56,0.028592,-0.005427
177,2016/1/8 9:00,17.74,-17.4,24.849,638.64,-626.4,0.100242,-0.098817
178,2016/1/8 10:00,21.51,-24.6,32.678,774.36,-885.6,0.121544,-0.140038
179,2016/1/8 11:00,23.63,-25.74,34.942,850.68,-926.64,0.133524,-0.146753
180,2016/1/8 12:00,21.28,-22.9,31.261,766.08,-824.4,0.120245,-0.13034
181,2016/1/8 13:00,18.19,-19.66,26.784,654.84,-707.76,0.102784,-0.11168
182,2016/1/8 14:00,11.07,-12.53,16.72,398.52,-451.08,0.062552,-0.070941
183,2016/1/8 15:00,1.49,-3.77,4.054,53.64,-135.72,0.008419,-0.021304
184,2016/1/8 16:00,-8.8,5.66,10.463,-316.8,203.76,-0.049725,0.032022
185,2016/1/8 17:00,-15.59,14.52,21.304,-561.24,522.72,-0.088093,0.082366
186,2016/1/8 18:00,-16.48,16.39,23.243,-593.28,590.04,-0.093122,0.093016
187,2016/1/8 19:00,-9.8,11.03,14.755,-352.8,397.08,-0.055376,0.062422
188,2016/1/8 20:00,6.43,-2.22,6.802,231.48,-79.92,0.036333,-0.012553
189,2016/1/8 21:00,18.23,-19.99,27.054,656.28,-719.64,0.103011,-0.113558
190,2016/1/8 22:00,23.36,-25.58,34.641,840.96,-920.88,0.131998,-0.145811
191,2016/1/8 23:00,24.64,-25.88,35.734,887.04,-931.68,0.139231,-0.147667
192,2016/1/9 0:00,21.89,-23.26,31.941,788.04,-837.36,0.123692,-0.132445
193,2016/1/9 1:00,17.1,-18.15,24.937,615.6,-653.4,0.096625,-0.103039
194,2016/1/9 2:00,10.34,-11.23,15.265,372.24,-404.28,0.058427,-0.063565
